iid,title,state,labels,kind,status,priority,modules,owner_agents,test_types,validation_commands,blocked_by,updated_at,web_url,content_hash
"1","refactor(e2e): 拆分 e2e 支撑模块并收敛目录边界","closed","area/e2e; kind/refactor; status/closed","refactor","closed","P1","E2E / Release / Platform","cross-platform-e2e-validator","functional; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-29T11:22:57.003Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/1","766cb2891f30478d"
"2","design(repo): 建立 deepbankv2 的 GitLab 治理与 repo-managed hooks 基础设施","closed","area/context; area/repo; area/scripts; kind/design; status/closed","design","closed","P1","Projects / GitLab; E2E / Release / Platform; Context / Governance","functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; integration; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","Requires explicit real-provider environment.","2026-06-29T10:42:36.646Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/2","358efe139ee3fd0b"
"3","Build unified Codex and Claude Code skill infrastructure","closed","area/context; area/e2e; area/scripts; area/skills; kind/design; kind/feature; status/closed","design","closed","P1","Runtime / Protocol; Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-29T10:42:36.679Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/3","492cdfca55e48326"
"4","Design cross-agent issue/MR development skills for Codex and Claude Code","closed","area/context; area/repo; area/scripts; area/skills; kind/design; status/closed","design","closed","P1","Runtime / Protocol; Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-29T10:42:36.714Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/4","45da6f557bb5bc9c"
"5","release-http: agent turn never closes after assistant result","closed","status/closed","release","closed","P1","Assistant; E2E / Release / Platform","ui-product-experience-tester; cross-platform-e2e-validator","functional; UI; e2e; release","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run build:desktop","","2026-06-29T10:46:59.746Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/5","62a21e49982f8491"
"6","Design issue-intake skill for cross-agent GitLab issue creation","closed","area/context; area/repo; area/scripts; area/skills; kind/design; status/closed","design","closed","P1","Skills / MCP / Experts; Projects / GitLab; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; integration; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:46:05.021Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/6","b466ff8b92022509"
"7","Design issue-implement skill for issue-driven implementation","closed","area/context; area/repo; area/scripts; area/skills; kind/design; status/closed","design","closed","P1","Skills / MCP / Experts; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; e2e","npm run check && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:46:06.125Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/7","c489118adc76a78f"
"8","Design mr-delivery skill for GitLab merge request delivery","closed","area/context; area/repo; area/scripts; area/skills; kind/design; status/closed","design","closed","P1","Skills / MCP / Experts; Projects / GitLab; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; integration; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:46:07.855Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/8","975b4e0a67f6affe"
"9","Design review-address skill for GitLab MR review feedback","closed","area/context; area/repo; area/scripts; area/skills; kind/design; status/closed","design","closed","P1","Skills / MCP / Experts; Projects / GitLab; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; integration; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:46:09.577Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/9","4f8bfa9feec0c656"
"10","Design agent-governance-maintenance skill for context and GitLab workflow assets","closed","area/context; area/repo; area/scripts; area/skills; kind/design; status/closed","design","closed","P1","Skills / MCP / Experts; Projects / GitLab; E2E / Release / Platform; Context / Governance","runtime-protocol-skill-chain-tester; functional-test-case-designer; cross-platform-e2e-validator; issue-intelligence-analyst","functional; runtime; integration; e2e","npm run check && npm run build:ui && npm run e2e:doctor -- --scope=local && npm run e2e:local && npm run codex:doctor && npm run codex:smoke && npm run runtime-features:doctor && npm run build:desktop","","2026-06-28T13:46:11.039Z","https://gitlab.daikuan.qihoo.net/songrongxin/deepbankv2/-/issues/10","67340d5faed2da4d"
